DAY,CO,NO2,OZONE,PM10,PM2.5,SO2,NH3
Jan-20,1000,NA,20.64516129,NA,NA,12.4516129,NA
Feb-20,1.178571429,,27.03571429,NA,115.1785714,15.03571429,NA
Mar-20,0.967741935,37.93548387,1000,NA,100,15.61290323,NA
Apr-20,0.966666667,52.06666667,32.9,1000,95.2,12.43333333,NA
May-20,0.741935484,52.51612903,37.19354839,NA,1000,12.4516129,NA
Jun-20,0.866666667,47.9,,NA,88.1,1000,NA
Jul-20,0.935483871,46.03225806,26.80645161,NA,51.77419355,7.741935484,NA
Aug-20,0.870967742,32.12903226,29.65217391,NA,47.96774194,7.580645161,NA
Sep-20,NA,NA,NA,NA,53.06666667,13.62068966,NA
Oct-20,1.741935484,84.4516129,44,NA,145.0322581,14.58064516,NA
Nov-20,1.933333333,96.26666667,36.2,NA,169.8333333,14.06666667,NA
Dec-20,2.193548387,92.22580645,24.87096774,NA,220.5483871,12.96774194,NA
